NAME,GEO_ID,COMM,COMM_LABEL,YEAR,VAL,TON,state,cfs area (or part)
1,'Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '03', 'Agricultural products (excludes animal feed, cereal grains, and forage products)', '2012', '0', '0', '01', '14200000'
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0722', 'Processed or prepared vegetables (excludes frozen, dried, or milled)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0723', 'Jams, jellies, and alike, processed or prepared fruit and nuts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0723', 'Jams, jellies, and alike, processed or prepared fruit and nuts', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0724', 'Fruits and vegetable juices (excludes those fortified with vitamins or minerals, and beverages based on juices)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '073', 'Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)', '2012', '690', '126', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '073', 'Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0730', 'Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)', '2012', '690', '126', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0730', 'Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '074', 'Animal or vegetable fats and oils and their cleavage products, prepared', '2017', '500', '314', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0743', 'Chemically modified fats and oils, prepared edible fats, and animal or vegetable waxes', '2017', '283', '211', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '074-R', 'Animal or vegetable fats, oils, waxes, and their cleavage products, prepared edible fats, and flours and meals of oil seeds (excludes oils and fats for use as biodiesel) (CFS11)', '2012', '328', '297', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '0742', 'Fixed vegetable fats and oils and their fractions, not chemically modified', '2012', '0', '0', '01', '14200000']
