City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Teeli,RU,2022-01-30 18:23:01,51.0333,90.2333,-18.31,91,20,1.66,few clouds
202,Khatanga,RU,2022-01-30 18:23:01,71.9667,102.5,-8.3,98,98,9.75,overcast clouds
203,Havoysund,NO,2022-01-30 18:23:02,70.9963,24.6622,31.08,66,95,14.5,overcast clouds
204,Leningradskiy,RU,2022-01-30 18:19:49,69.3833,178.4167,-8.9,93,100,0.51,overcast clouds
205,Samarai,PG,2022-01-30 18:23:03,-10.6167,150.6667,80.62,79,100,10.22,overcast clouds
206,Flin Flon,CA,2022-01-30 18:23:04,54.7682,-101.865,6.64,72,100,5.75,light snow
207,Pombas,CV,2022-01-30 18:23:05,17.1503,-25.0201,69.58,70,100,15.35,overcast clouds
208,Half Moon Bay,US,2022-01-30 18:23:05,37.4636,-122.4286,58.44,81,75,1.99,haze
209,Roma,US,2022-01-30 18:23:06,43.2128,-75.4557,22.12,43,0,0.0,clear sky
210,Prainha,BR,2022-01-30 18:23:06,-1.8,-53.48,79.14,80,96,2.24,overcast clouds
211,Celestun,MX,2022-01-30 18:23:07,20.8667,-90.4,72.28,49,43,9.22,scattered clouds
212,San Cristobal,VE,2022-01-30 18:23:08,7.7669,-72.225,69.98,40,88,4.97,overcast clouds
213,Burgos,ES,2022-01-30 18:23:08,42.3394,-3.7079,41.41,52,0,6.91,clear sky
214,Hambantota,LK,2022-01-30 18:23:09,6.1241,81.1185,77.38,87,16,11.74,few clouds
215,Xai-Xai,MZ,2022-01-30 18:23:10,-25.0519,33.6442,75.9,79,16,8.37,few clouds
216,Iralaya,HN,2022-01-30 18:23:10,15.0,-83.2333,78.89,71,58,19.51,broken clouds
217,Port Lincoln,AU,2022-01-30 18:23:11,-34.7333,135.8667,66.16,84,1,10.69,clear sky
218,Shingu,JP,2022-01-30 18:23:12,33.7333,135.9833,37.26,76,66,7.52,broken clouds
